customer_id,order_date,product_id,unit_price,quantity,total_discount
C1270,2023-08-05,P2004,4751.21,4,207.69
C1999,2022-03-31,P2028,3296.75,4,61.41
C1507,2022-06-08,P2002,4796.38,4,184.88
C1602,2022-11-10,P2015,3403.38,3,152.7
C1167,2023-08-09,P2029,1241.0,2,138.9
C1420,2023-01-27,P2038,2538.6,1,211.83
C1772,2022-05-26,P2012,4293.9,1,187.63
C1593,2023-06-03,P2038,2538.6,1,207.28
C1828,2022-07-29,P2027,506.83,1,270.38
C1996,2023-08-27,P2031,2861.23,3,16.76
C1243,2023-07-03,P2038,2538.6,1,63.1
C1610,2023-09-30,P2036,3463.5,1,71.67
C1244,2022-03-26,P2029,1241.0,1,288.38
C1763,2023-06-19,P2002,4796.38,2,100.44
C1852,2022-07-23,P2038,2538.6,4,12.7
C1207,2022-04-10,P2027,506.83,1,108.8
C1670,2023-09-09,P2040,2929.17,2,179.86
C1024,2022-10-31,P2032,2396.43,4,110.74
C1165,2022-04-02,P2028,3296.75,2,254.3
C1915,2023-06-03,P2032,2396.43,4,25.96
C1656,2022-10-04,P2025,1418.3,2,5.35
C1115,2023-03-05,P2031,2861.23,2,95.08
C1596,2022-12-19,P2042,4569.64,1,264.59
C1027,2022-12-13,P2002,4796.38,3,205.78
C1952,2023-10-23,P2009,4904.6,3,29.53
C1540,2022-08-08,P2045,3318.94,3,96.26
C1212,2022-04-23,P2043,691.38,4,57.2
C1020,2023-01-26,P2010,802.66,4,219.46
C1494,2023-05-18,P2039,423.77,4,124.91
C1890,2023-09-30,P2021,4502.82,4,26.97
C1364,2022-10-26,P2015,3403.38,3,80.89
C1801,2022-05-23,P2046,4644.31,4,14.79
C1811,2023-04-10,P2027,506.83,1,258.71
C1752,2022-01-01,P2043,691.38,2,209.5
C1785,2022-05-14,P2002,4796.38,3,207.66
C1798,2022-03-12,P2022,419.05,1,196.59
C1961,2022-04-25,P2008,2753.53,4,0.53
C1524,2022-06-17,P2033,2891.83,4,224.48
C1002,2023-06-20,P2037,281.16,1,198.65
C1898,2022-01-11,P2021,4502.82,1,93.39
C1283,2023-05-24,P2028,3296.75,4,54.64
C1648,2022-03-08,P2019,4954.71,3,108.89
C1421,2022-06-19,P2002,4796.38,1,183.89
C1897,2023-03-23,P2034,3183.86,3,126.04
C1051,2022-01-07,P2038,2538.6,3,207.41
C1059,2023-11-22,P2010,802.66,1,293.06
C1294,2022-07-08,P2035,3437.92,3,84.14
C1937,2022-06-06,P2009,4904.6,1,239.23
C1732,2022-10-06,P2015,3403.38,3,13.62
C1623,2022-08-19,P2030,4828.98,1,179.51
C1662,2022-02-02,P2038,2538.6,4,155.66
C1055,2023-10-20,P2049,798.47,1,212.25
C1114,2022-03-24,P2043,691.38,3,196.61
C1878,2022-12-12,P2033,2891.83,1,247.8
C1429,2023-11-24,P2048,4677.94,3,243.12
C1296,2022-08-27,P2044,3523.22,2,166.51
C1792,2023-03-26,P2026,3229.93,3,113.7
C1125,2022-12-15,P2028,3296.75,4,233.96
C1130,2023-06-28,P2013,4417.98,2,292.62
C1678,2022-07-04,P2000,1273.21,1,55.2
C1261,2022-12-20,P2040,2929.17,3,223.25
C1622,2022-09-13,P2046,4644.31,2,27.31
C1526,2023-07-18,P2004,4751.21,2,229.59
C1373,2022-06-24,P2012,4293.9,2,49.47
C1619,2023-03-30,P2019,4954.71,4,2.18
C1610,2022-11-03,P2002,4796.38,1,41.78
C1046,2022-08-19,P2009,4904.6,4,6.35
C1900,2023-04-14,P2031,2861.23,3,205.14
C1935,2022-05-22,P2000,1273.21,4,45.06
C1633,2023-01-23,P2026,3229.93,2,270.28
C1113,2022-10-22,P2024,4532.99,3,23.04
C1323,2023-09-16,P2027,506.83,3,279.16
C1847,2022-09-26,P2008,2753.53,3,245.95
C1127,2022-08-18,P2042,4569.64,3,201.76
C1156,2023-04-07,P2028,3296.75,1,44.85
C1088,2022-12-26,P2048,4677.94,3,124.62
C1179,2023-10-08,P2012,4293.9,2,277.19
C1709,2023-05-14,P2019,4954.71,1,23.79
C1838,2022-02-03,P2002,4796.38,2,180.11
C1124,2023-08-10,P2041,1732.07,4,106.56
C1252,2022-02-14,P2040,2929.17,1,206.6
C1688,2022-08-02,P2040,2929.17,4,192.94
C1959,2022-04-27,P2000,1273.21,3,275.93
C1001,2022-08-02,P2016,4693.47,3,207.81
C1357,2023-09-01,P2031,2861.23,4,292.76
C1065,2022-11-02,P2007,197.12,3,155.55
C1323,2023-12-08,P2022,419.05,2,78.79
C1851,2022-05-15,P2026,3229.93,1,160.81
C1858,2022-01-23,P2022,419.05,2,69.4
C1722,2023-01-08,P2029,1241.0,4,135.75
C1571,2023-03-14,P2036,3463.5,3,131.62
C1936,2022-09-02,P2020,622.64,2,6.46
C1448,2022-07-26,P2004,4751.21,2,133.36
C1360,2023-11-28,P2017,1456.57,4,118.64
C1110,2023-11-11,P2031,2861.23,3,184.33
C1425,2023-04-15,P2029,1241.0,1,92.85
C1382,2023-12-29,P2000,1273.21,3,201.61
C1215,2023-08-21,P2008,2753.53,3,71.11
C1776,2023-10-23,P2012,4293.9,3,108.21
C1268,2023-07-30,P2013,4417.98,3,206.5
C1472,2023-02-25,P2043,691.38,2,42.4
C1264,2023-05-11,P2007,197.12,2,222.03
C1600,2023-05-06,P2036,3463.5,3,152.57
C1511,2022-12-22,P2035,3437.92,4,99.29
C1274,2023-10-23,P2039,423.77,2,221.28
C1764,2023-04-30,P2011,2563.14,1,146.34
C1772,2022-03-06,P2040,2929.17,2,30.11
C1470,2023-01-19,P2027,506.83,1,272.73
C1466,2023-05-20,P2040,2929.17,1,132.82
C1696,2022-08-15,P2042,4569.64,1,207.08
C1670,2023-03-28,P2019,4954.71,3,80.4
C1913,2022-02-13,P2006,3318.76,2,185.4
C1395,2022-08-19,P2016,4693.47,1,270.18
C1319,2023-04-14,P2045,3318.94,3,178.5
C1054,2022-09-09,P2035,3437.92,1,270.81
C1793,2023-04-24,P2037,281.16,4,70.11
C1195,2023-11-28,P2044,3523.22,1,8.21
C1842,2023-12-10,P2041,1732.07,2,250.32
C1740,2023-08-28,P2039,423.77,4,204.79
C1453,2022-11-11,P2043,691.38,1,37.91
C1742,2023-06-19,P2047,2782.26,4,157.82
C1007,2022-05-18,P2037,281.16,1,20.62
C1088,2022-02-05,P2006,3318.76,3,241.28
C1278,2022-01-21,P2030,4828.98,1,212.63
C1089,2023-02-20,P2019,4954.71,2,148.26
C1994,2022-04-10,P2036,3463.5,2,15.54
C1300,2023-06-08,P2035,3437.92,2,129.4
C1137,2022-03-16,P2036,3463.5,3,76.86
C1740,2023-12-23,P2028,3296.75,4,189.22
C1877,2023-05-13,P2027,506.83,3,34.48
C1863,2022-04-24,P2028,3296.75,4,215.62
C1128,2023-04-28,P2007,197.12,4,1.57
C1926,2022-01-07,P2010,802.66,3,147.43
C1657,2023-06-29,P2001,4933.21,3,182.97
C1757,2023-02-13,P2026,3229.93,4,121.52
C1870,2022-10-01,P2016,4693.47,2,267.03
C1048,2023-05-23,P2031,2861.23,1,201.0
C1290,2023-09-13,P2022,419.05,1,138.28
C1729,2022-08-31,P2014,1047.17,1,79.46
C1848,2023-11-08,P2016,4693.47,4,258.06
C1532,2023-07-23,P2043,691.38,3,65.25
C1873,2022-02-25,P2023,2810.79,4,196.52
C1862,2022-08-29,P2001,4933.21,3,31.55
C1402,2023-05-19,P2026,3229.93,1,229.47
C1052,2022-02-16,P2001,4933.21,1,272.48
C1204,2022-11-24,P2031,2861.23,1,86.42
C1397,2023-04-26,P2044,3523.22,3,54.48
C1531,2023-09-09,P2018,470.33,4,99.43
C1410,2023-09-16,P2002,4796.38,4,199.0
C1953,2022-01-03,P2034,3183.86,4,166.64
C1334,2023-09-04,P2007,197.12,3,282.44
C1667,2023-09-13,P2004,4751.21,4,299.73
C1780,2023-09-15,P2042,4569.64,3,255.83
C1503,2023-11-23,P2047,2782.26,2,230.36
C1753,2023-08-06,P2008,2753.53,1,48.42
C1557,2022-06-14,P2027,506.83,3,159.71
C1016,2023-04-01,P2020,622.64,4,99.53
C1356,2022-10-02,P2037,281.16,4,230.19
C1765,2022-07-14,P2014,1047.17,4,261.02
C1055,2022-08-18,P2045,3318.94,3,199.16
C1375,2023-09-13,P2007,197.12,1,213.47
C1082,2023-05-24,P2030,4828.98,3,169.11
C1352,2022-08-30,P2042,4569.64,4,177.47
C1713,2023-09-30,P2039,423.77,1,96.55
C1304,2023-11-29,P2008,2753.53,2,211.41
C1123,2022-05-22,P2035,3437.92,2,219.49
C1078,2022-11-28,P2008,2753.53,3,249.66
C1522,2023-07-02,P2036,3463.5,2,146.99
C1689,2022-05-23,P2015,3403.38,3,204.93
C1570,2023-07-05,P2029,1241.0,3,223.87
C1356,2022-11-04,P2000,1273.21,1,137.78
C1189,2023-03-20,P2023,2810.79,2,281.32
C1181,2022-08-21,P2040,2929.17,4,113.29
C1698,2023-05-05,P2011,2563.14,3,241.05
C1134,2023-11-20,P2042,4569.64,3,87.79
C1773,2023-08-31,P2045,3318.94,2,64.8
C1824,2023-05-21,P2002,4796.38,3,69.34
